,score,HNA_mean_abs,HNA_mean_rel
Otu007251,0.13666666666666666,1.0029895432915048,4.570663072595786e-05
Otu003332,0.13333333333333333,1.0029895432915024,3.5806261181379796e-05
Otu001935,0.13333333333333333,1.0029895432914984,1.620833508005163e-05
Otu000535,0.13333333333333333,1.0029895432915013,0.00021991421035094826
Otu000221,0.13333333333333333,1.0029895432915026,0.0019350552677189436
Otu002597,0.13333333333333333,1.0029895432915032,5.116309777083709e-05
Otu000342,0.13333333333333333,1.0029895432915024,0.001861322235198655
Otu000409,0.13333333333333333,1.0029895432915032,0.000502082546663443
Otu001406,0.13333333333333333,1.0029895432915024,3.910329040608904e-05
Otu001580,0.13333333333333333,1.0029895432915021,0.0001966236573358398
Otu003684,0.13333333333333333,1.0029895432915037,3.580626118137978e-05
Otu006714,0.13,1.0029895432915035,3.212418294588586e-05
Otu002268,0.13,1.0029895432915077,8.945632230660386e-05
Otu003891,0.13,1.0029895432915028,3.580626118137979e-05
Otu003300,0.13,1.0029895432915032,6.782172865658596e-05
Otu000466,0.13,1.0029895432915026,0.00014891145818071648
Otu002059,0.13,1.002989543291505,3.9503539222833076e-05
Otu000765,0.13,1.0029895432914993,0.0003394494362710164
Otu002461,0.12666666666666668,1.0029895432915041,3.9503539222833076e-05
Otu002473,0.12666666666666668,1.0029895432915032,2.285331536297889e-05
Otu001267,0.12666666666666668,1.0029895432915032,0.0002505339690365626
Otu000047,0.12666666666666668,1.0029895432915015,0.007824665141938126
Otu001425,0.12666666666666668,1.0029895432915024,0.00016540264431115178
Otu004318,0.12666666666666668,1.002989543291501,9.708001407780129e-05
Otu000389,0.12666666666666668,1.0029895432915024,0.0006991185047238007
Otu003721,0.12333333333333334,1.0029895432915035,4.2551789868093044e-05
Otu005687,0.12333333333333334,1.0029895432915028,9.315202484570826e-05
Otu004876,0.12333333333333334,1.0029895432914986,1.620833508005163e-05
Otu009997,0.12333333333333334,1.0029895432915026,2.7905047769849872e-05
Otu001677,0.12333333333333334,1.0029895432915035,0.00023162021657483338
Otu002040,0.12333333333333334,1.0029895432915028,5.7953425402554775e-05
Otu001353,0.12333333333333334,1.0029895432915048,0.00014694945769520794
Otu004672,0.12333333333333334,1.0029895432915037,2.2853315362978884e-05
