"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth" "Total_Sequences" "norep_filter_name" "tot_bacprod" "SD_tot_bacprod"
"48" "MBRH1-914" 3475184.587 988450.6973 2486733.889 18520.798 10742.89791 8163.31964 "Accuri" "Muskegon" "MBRH1F914" "Fall" "September" 2014 "Free" "MBR" "Deep" 26556 "MBRHF914" NA NA
"49" "MBRH2-915" 2827504.35 847478.3695 1980025.981 109831.8865 46397.03628 63681.18052 "Accuri" "Muskegon" "MBRH2F915" "Fall" "September" 2015 "Free" "MBR" "Deep" 19308 "MBRHF915" NA NA
"50" "MUSDEPE1-epi-deep-514" 4412737.842 2396947.528 2015790.314 112621.9378 114096.596 100625.0727 "Accuri" "Muskegon" "MDPE1F514" "Spring" "May" 2014 "Free" "MDP" "Surface" 104975 "MDPEF514" 43.3 4.65
"51" "MDPE2-515" 6095630.674 2155514.548 3940116.126 104792.0411 50626.9332 62122.79334 "Accuri" "Muskegon" "MDPE2F515" "Spring" "May" 2015 "Free" "MDP" "Surface" 8215 "MDPEF515" 30.01 16.14
"52" "MDPE1-714" 9365634.053 3007825.81 6357808.244 100351.8524 44800.45981 58132.29242 "Accuri" "Muskegon" "MDPE1F714" "Summer" "July" 2014 "Free" "MDP" "Surface" 24115 "MDPEF714" 59.37 6.38
"53" "MDPE1-715" 7539904.733 1721378.751 5818525.982 50031.73127 54282.79075 43616.52186 "Accuri" "Muskegon" "MDPE1F715" "Summer" "July" 2015 "Free" "MDP" "Surface" 18289 "MDPEF715" 49 2.87
"54" "MDPE1-914" 7360864.378 2059672.048 5301192.331 149891.638 75024.02954 75897.16088 "Accuri" "Muskegon" "MDPE1F914" "Fall" "September" 2014 "Free" "MDP" "Surface" 26370 "MDPEF914" 19.64 11.2
"55" "MDPE2-915" 5522877.426 1349635.455 4173241.971 60797.46975 33711.0419 30624.77363 "Accuri" "Muskegon" "MDPE2F915" "Fall" "September" 2015 "Free" "MDP" "Surface" 21349 "MDPEF915" 10.09 1.43
"56" "MUSDEPH-hypo-deep-514" 3112909.391 1406416.197 1706493.194 42784.51351 25040.30632 17793.40622 "Accuri" "Muskegon" "MDPH2F514" "Spring" "May" 2014 "Free" "MDP" "Deep" 21536 "MDPHF514" NA NA
"57" "MDPH2-515" 3070178.756 1051089.388 2019089.367 6039.95441 12237.51948 7037.903373 "Accuri" "Muskegon" "MDPH2F515" "Spring" "May" 2015 "Free" "MDP" "Deep" 21593 "MDPHF515" NA NA
"58" "MDPH1-714" 2792914.004 836163.6558 1956750.349 26474.93709 13528.57357 13340.77381 "Accuri" "Muskegon" "MDPH1F714" "Summer" "July" 2014 "Free" "MDP" "Deep" 28527 "MDPHF714" NA NA
"59" "MDPH1-715" 2703952.099 713102.3333 1990849.765 105017.4351 38215.53239 69910.79354 "Accuri" "Muskegon" "MDPH1F715" "Summer" "July" 2015 "Free" "MDP" "Deep" 19689 "MDPHF715" NA NA
"60" "MDPH1-914" 3348037.862 1139623.799 2208414.063 23674.13538 41727.05286 39616.47438 "Accuri" "Muskegon" "MDPH1F914" "Fall" "September" 2014 "Free" "MDP" "Deep" 29939 "MDPHF914" NA NA
"61" "MDPH2-915" 4146877.003 1587176.345 2559700.658 19131.94141 15916.58115 20687.32738 "Accuri" "Muskegon" "MDPH2F915" "Fall" "September" 2015 "Free" "MDP" "Deep" 21738 "MDPHF915" NA NA
"62" "MUSINLE1-epi-inlet-514" 5465149.289 3145039.711 2320109.578 123721.5566 95869.82959 54191.70502 "Accuri" "Muskegon" "MINE1F514" "Spring" "May" 2014 "Free" "MIN" "Surface" 50492 "MINEF514" 96.45 11.27
"63" "MINE2-515" 7217488.753 2803428.088 4414060.665 378974.444 489935.488 121864.6305 "Accuri" "Muskegon" "MINE2F515" "Spring" "May" 2015 "Free" "MIN" "Surface" 10934 "MINEF515" 94.21 7.77
"64" "MINE1-714" 10419622.5 3659046.108 6760576.391 63905.04441 37249.16958 50443.82012 "Accuri" "Muskegon" "MINE1F714" "Summer" "July" 2014 "Free" "MIN" "Surface" 11113 "MINEF714" 96.98 7.41
