;samples;Total.cells;HNA.cells;LNA.cells;Total.count.sd;HNA.sd;LNA.sd
Z14-14;Z14-14;8640,395991;1988,570698;6651,825293;106,5346106;35,15804197;71,46161292
Z14-15;Z14-15;5143,896238;3211,289255;1932,606982;75,841248;48,84472129;28,45062104
Z14-16;Z14-16;8747,225596;2025,397278;6721,828318;35,90617505;22,51749038;43,6271826
Z14-17;Z14-17;8422,137494;2262,679908;6159,457586;231,5433322;72,72117373;160,3651956
Z14-18;Z14-18;8208,670298;2383,161648;5825,50865;116,8778448;62,57393322;62,03645686
Z14-19;Z14-19;4814,442237;2186,270767;2628,17147;79,53844981;57,76621074;34,96827477
Z14-2;Z14-2;8647,45579;1945,478791;6701,976998;131,0496372;36,62845344;102,3050651
Z14-20;Z14-20;8307,301844;2456,60432;5850,697524;213,6951183;116,5317377;112,9469103
Z14-21;Z14-21;5804,649793;1766,766636;4037,883156;70,16369605;25,55776736;46,52171029
Z14-22;Z14-22;5458,830589;1539,845069;3918,98552;101,7347988;30,00669257;76,07433631
Z14-23;Z14-23;7900,172713;4170,813043;3729,35967;213,5346296;104,0321164;110,5627561
Z14-24;Z14-24;5249,319788;1801,03307;3448,286717;104,6922048;32,26624986;72,45357443
Z14-25;Z14-25;4742,687926;784,606452;3958,081474;81,86699092;9,164109028;79,91053634
Z14-26;Z14-26;4450,146249;752,8096172;3697,336631;179,9059561;33,83749568;147,2576507
Z14-27;Z14-27;3504,815241;1019,288065;2485,527177;119,8385313;38,80597932;81,5765456
Z14-28;Z14-28;3967,728678;698,8212775;3268,9074;93,84258421;23,96432666;70,41112275
Z14-29;Z14-29;7999,722403;3044,857088;4954,865316;255,5374725;101,3071816;154,372843
Z14-3;Z14-3;11221,59609;5742,282966;5479,313126;378,5594895;289,4820028;90,69901212
Z14-30;Z14-30;5852,384968;2264,191627;3588,193341;126,8216373;79,10643298;47,74094717
Z14-31;Z14-31;5005,906675;2430,879521;2575,027153;55,54712998;21,02532082;34,60710432
Z14-32;Z14-32;5863,306715;2249,222002;3614,084713;54,61507059;65,08484518;32,72782515
Z14-33;Z14-33;5036,317322;1581,203388;3455,113933;116,6542111;29,20646137;87,953719
Z14-34;Z14-34;5326,690822;1680,237057;3646,453765;191,3366595;56,63383574;144,0756652
Z14-35;Z14-35;3995,835899;967,0667392;3028,76916;54,71443985;26,37911458;32,25742406
Z14-36;Z14-36;5413,642265;1752,827195;3660,81507;42,48294107;15,31327981;32,49971729
Z14-37;Z14-37;5036,198528;1125,569644;3910,628884;268,234155;44,55207933;225,9777801
Z14-38;Z14-38;5457,855997;1229,437904;4228,418094;63,58959693;12,9698363;56,36018271
Z14-39;Z14-39;5129,808706;1062,987774;4066,820932;114,9215337;34,9288883;82,25134958
Z14-4;Z14-4;8495,432617;2025,256226;6470,176391;155,0133051;18,95072192;136,4722547
Z14-40;Z14-40;5793,042643;1309,377303;4483,66534;66,42119456;27,00117687;52,7000173
Z14-41;Z14-41;6866,121758;2134,153988;4731,96777;104,1457616;50,02431095;60,42270801
Z14-42;Z14-42;6818,565935;2052,859515;4765,70642;66,65007366;50,2099916;20,96372283
Z14-43;Z14-43;3837,709564;825,0945648;3012,614999;59,72358685;26,96904282;33,17796266
Z14-44;Z14-44;7309,9632;2172,316521;5137,646679;78,19301484;45,71260971;32,48049101
Z14-45;Z14-45;5916,745467;1458,781524;4457,963943;196,4282412;46,90041423;150,3610169
Z14-46;Z14-46;5395,203168;1308,085503;4087,117665;41,18403421;15,21670354;32,50652221
Z14-47;Z14-47;6305,317804;1919,578208;4385,739596;44,9767604;9,461383394;36,25715153
Z14-48;Z14-48;5776,899202;1206,946024;4569,953178;16,11683988;12,82185987;8,694443944
Z14-5;Z14-5;9315,748672;1631,166394;7684,582279;111,6961466;42,46106761;105,9687314
Z14-50;Z14-50;4130,724917;1054,379193;3076,345724;60,42200262;11,06325124;49,66013283
Z14-51;Z14-51;4721,285284;1317,604332;3403,680952;69,68700182;12,68087039;58,62966599
Z14-53;Z14-53;3870,306913;880,4379836;2989,868929;30,62736914;26,17570698;17,62977041
Z14-55;Z14-55;7151,123168;3062,020685;4089,102483;198,957118;98,25061456;100,7485977
Z14-57;Z14-57;6199,51388;1852,823504;4346,690376;36,29889511;41,94171529;15,95311692
Z14-59;Z14-59;5262,967016;1470,039168;3792,927848;89,98283309;36,29969349;61,4192159
Z14-6;Z14-6;10015,62818;1819,185105;8196,443078;83,96264587;3,043429438;81,71170919
Z14-61;Z14-61;4120,768342;1225,764088;2895,004253;50,44672218;28,17746895;29,50786883
