"samples" "Total.cells" "HNA.cells" "LNA.cells" "Total.count.sd" "HNA.sd" "LNA.sd" "Platform" "Lake" "Sample_16S" "Season" "Month" "Year" "Fraction" "Site" "Depth"
"MM110-S-D_July" 1573.259812 238.393368 1334.866444 220.2960805 36.12003161 185.0261146 "Accuri" "Michigan" "Su13.BD.MM110.SD.1" "Summer" "July" 2013 "Free" "MM110" "Surface"
"MM110-S-N_July" 1699.761618 251.0299334 1448.731685 33.2615452 10.43117575 30.31312866 "Accuri" "Michigan" "Su13.BD.MM110.SN.1" "Summer" "July" 2013 "Free" "MM110" "Surface"
"MM15-D-N_July" 2491.911735 617.4801365 1874.431599 29.05396917 9.26275169 20.82912352 "Accuri" "Michigan" "Su13.BD.MM15.DN.1" "Summer" "July" 2013 "Free" "MM15" "Deep"
"MM15-S-D_July" 2781.922711 565.4782961 2216.444415 36.36633124 7.002639501 36.36649868 "Accuri" "Michigan" "Su13.BD.MM15.SD.1" "Summer" "July" 2013 "Free" "MM15" "Surface"
"MM15-S-N_July" 2963.172842 632.7229215 2330.44992 37.60470173 16.91846804 27.24006031 "Accuri" "Michigan" "Su13.BD.MM15.SN.1" "Summer" "July" 2013 "Free" "MM15" "Surface"
"Z14-1-1" 8928.438409 1984.212902 6944.225507 236.7400167 58.83994392 178.1943831 "Accuri" "Inland" "Z14001F" "Summer" "June" 2014 "Free" "Bishop" "Surface"
"Z14-2-1" 8647.45579 1945.478791 6701.976998 131.0496372 36.62845344 102.3050651 "Accuri" "Inland" "Z14002F" "Summer" "June" 2015 "Free" "Bishop" "Surface"
"Z14-3-1" 11221.59609 5742.282966 5479.313126 378.5594895 289.4820028 90.69901212 "Accuri" "Inland" "Z14003F" "Summer" "June" 2015 "Free" "Bishop" "Deep"
"Z14-4-1" 8495.432617 2025.256226 6470.176391 155.0133051 18.95072192 136.4722547 "Accuri" "Inland" "Z14004F" "Summer" "June" 2015 "Free" "Bishop" "Surface"
"Z14-5-1" 9315.748672 1631.166394 7684.582279 111.6961466 42.46106761 105.9687314 "Accuri" "Inland" "Z14005F" "Summer" "June" 2015 "Free" "Woodland" "Surface"
"Z14-6-1" 10015.62818 1819.185105 8196.443078 83.96264587 3.043429438 81.71170919 "Accuri" "Inland" "Z14006F" "Summer" "June" 2015 "Free" "Woodland" "Surface"
"Z14-7-1" 8078.50246 4637.987427 3440.515033 585.024846 398.9552891 189.1663052 "Accuri" "Inland" "Z14007F" "Summer" "June" 2015 "Free" "Woodland" "Deep"
"Z14-8-1" 10257.45761 1851.866196 8405.591412 226.3276841 58.22581171 171.083164 "Accuri" "Inland" "Z14008F" "Summer" "June" 2015 "Free" "Woodland" "Surface"
"Z14-9-1" 8683.505588 1791.820237 6891.685351 54.18194396 37.2703866 16.91921186 "Accuri" "Inland" "Z14009F" "Summer" "June" 2015 "Free" "Big Seven" "Surface"
"Z14-10-1" 8804.248621 1757.149479 7047.099142 303.9184311 61.55919812 243.0974281 "Accuri" "Inland" "Z14010F" "Summer" "June" 2015 "Free" "Big Seven" "Surface"
"Z14-11-1" 8050.102885 4875.708819 3174.394065 324.5615042 233.9430307 104.0775113 "Accuri" "Inland" "Z14011F" "Summer" "June" 2015 "Free" "Big Seven" "Deep"
"Z14-12-1" 9491.664935 2028.965755 7462.69918 378.7664996 115.8658915 264.8044013 "Accuri" "Inland" "Z14012F" "Summer" "June" 2015 "Free" "Big Seven" "Surface"
"Z14-13-1" 8550.067537 1978.617438 6571.450099 117.7327526 12.80965106 112.6377736 "Accuri" "Inland" "Z14013F" "Summer" "June" 2015 "Free" "Heron" "Surface"
"Z14-14-1" 8640.395991 1988.570698 6651.825293 106.5346106 35.15804197 71.46161292 "Accuri" "Inland" "Z14014F" "Summer" "June" 2015 "Free" "Heron" "Surface"
"Z14-16-1" 8747.225596 2025.397278 6721.828318 35.90617505 22.51749038 43.6271826 "Accuri" "Inland" "Z14016F" "Summer" "June" 2015 "Free" "Heron" "Surface"
"Z14-17-1" 8422.137494 2262.679908 6159.457586 231.5433322 72.72117373 160.3651956 "Accuri" "Inland" "Z14017F" "Summer" "June" 2015 "Free" "Lobdell" "Surface"
"Z14-18-1" 8208.670298 2383.161648 5825.50865 116.8778448 62.57393322 62.03645686 "Accuri" "Inland" "Z14018F" "Summer" "June" 2015 "Free" "Lobdell" "Surface"
"Z14-19-1" 4814.442237 2186.270767 2628.17147 79.53844981 57.76621074 34.96827477 "Accuri" "Inland" "Z14019F" "Summer" "June" 2015 "Free" "Lobdell" "Deep"
"Z14-20-1" 8307.301844 2456.60432 5850.697524 213.6951183 116.5317377 112.9469103 "Accuri" "Inland" "Z14020F" "Summer" "June" 2015 "Free" "Lobdell" "Surface"
"Z14-21-1" 5804.649793 1766.766636 4037.883156 70.16369605 25.55776736 46.52171029 "Accuri" "Inland" "Z14021F" "Summer" "June" 2015 "Free" "North" "Surface"
"Z14-22-1" 5458.830589 1539.845069 3918.98552 101.7347988 30.00669257 76.07433631 "Accuri" "Inland" "Z14022F" "Summer" "June" 2015 "Free" "North" "Surface"
"Z14-23-1" 7900.172713 4170.813043 3729.35967 213.5346296 104.0321164 110.5627561 "Accuri" "Inland" "Z14023F" "Summer" "June" 2015 "Free" "North" "Deep"
"Z14-24-1" 5249.319788 1801.03307 3448.286717 104.6922048 32.26624986 72.45357443 "Accuri" "Inland" "Z14024F" "Summer" "June" 2015 "Free" "North" "Surface"
"Z14-25-1" 4742.687926 784.606452 3958.081474 81.86699092 9.164109028 79.91053634 "Accuri" "Inland" "Z14025F" "Summer" "June" 2015 "Free" "Bruin" "Surface"
"Z14-26-1" 4450.146249 752.8096172 3697.336631 179.9059561 33.83749568 147.2576507 "Accuri" "Inland" "Z14026F" "Summer" "June" 2015 "Free" "Bruin" "Surface"
"Z14-27-1" 3504.815241 1019.288065 2485.527177 119.8385313 38.80597932 81.5765456 "Accuri" "Inland" "Z14027F" "Summer" "June" 2015 "Free" "Bruin" "Deep"
"Z14-28-1" 3967.728678 698.8212775 3268.9074 93.84258421 23.96432666 70.41112275 "Accuri" "Inland" "Z14028F" "Summer" "June" 2015 "Free" "Bruin" "Surface"
"Z14-29-1" 7999.722403 3044.857088 4954.865316 255.5374725 101.3071816 154.372843 "Accuri" "Inland" "Z14029F" "Summer" "June" 2015 "Free" "Halfmoon" "Surface"
"Z14-30-1" 5852.384968 2264.191627 3588.193341 126.8216373 79.10643298 47.74094717 "Accuri" "Inland" "Z14030F" "Summer" "June" 2015 "Free" "Halfmoon" "Surface"
"Z14-31-1" 5005.906675 2430.879521 2575.027153 55.54712998 21.02532082 34.60710432 "Accuri" "Inland" "Z14031F" "Summer" "June" 2015 "Free" "Halfmoon" "Deep"
