"Otu000001" "Otu000009" "Otu000012" "Otu000022" "Otu000023" "Otu000030" "Otu000056" "Otu000077" "Otu000082" "Otu000093" "Otu000136" "Otu000227" "Otu000387" "Otu000775" "Otu001028" "Otu002522"
"M45S2F815" 0.354996505939902 0.189378057302586 0.125960866526904 0.162473794549266 0.000698812019566737 0.0585255066387142 0.000873515024458421 0.0412299091544375 0.000524109014675052 0.0317959468902865 0.0309224318658281 0 0.000174703004891684 0 0.00244584206848358 0
"M45S2F915" 0.316911250873515 0.105171208944794 0.235674353598882 0.149021663172607 0 0.0777428371767994 0.00174703004891684 0.0433263452131377 0 0.0396575821104123 0.0305730258560447 0 0 0 0.000174703004891684 0
"Sp13.BD.MM110.SD.1" 0.273584905660377 0.162648497554158 0.0351153039832285 0.440426275331936 0 0.003319357092942 0.0562543675751223 0.0129280223619846 0.000524109014675052 0.0124039133473096 0.000698812019566737 0.00209643605870021 0 0 0 0
"Sp13.BD.MM110.SN.1" 0.318134171907757 0.132599580712788 0.0248078266946191 0.439552760307477 0 0.00349406009783368 0.0637665967854647 0.00419287211740042 0.000698812019566737 0.00978336827393431 0.000349406009783368 0.00262054507337526 0 0 0 0
"Sp13.BD.MM15.DD.1" 0.26240391334731 0.175227113906359 0.0688329839273236 0.46995108315863 0 0.000349406009783368 0.0139762403913347 0.00314465408805031 0 0.00174703004891684 0.00122292103424179 0.00314465408805031 0 0 0 0
"Sp13.BD.MM15.SD.1" 0.306079664570231 0.212788259958071 0.0606219426974144 0.399196366177498 0 0 0.0120545073375262 0.00244584206848358 0.000174703004891684 0.00419287211740042 0.000873515024458421 0.00157232704402516 0 0 0 0
"Sp13.BD.MM15.SN.1" 0.26869322152341 0.172781271837876 0.0917190775681342 0.439378057302586 0.000174703004891684 0.000174703004891684 0.0150244584206848 0.00489168413696716 0 0.00366876310272537 0.00139762403913347 0.00192173305380853 0.000174703004891684 0 0 0
"Su13.BD.MM110.DCMD.1" 0.235674353598882 0.392907058001398 0.0892732354996506 0.170510132774284 0.00122292103424179 0.0773934311670161 0.00611460517120894 0.000349406009783368 0.000873515024458421 0.00419287211740042 0.0192173305380853 0.00227113906359189 0 0 0 0
"Su13.BD.MM110.DN.1" 0.312543675751223 0.222222222222222 0.0522361984626136 0.256638714185884 0.00279524807826695 0.00296995108315863 0.0856044723969252 0.000349406009783368 0.00698812019566736 0.00559049615653389 0.046995108315863 0.00262054507337526 0 0.00244584206848358 0 0
"Su13.BD.MM110.SD.1" 0.340496156533892 0.106044723969252 0.0286512928022362 0.477113906359189 0 0.0218378756114605 0.000524109014675052 0.00978336827393431 0 0.00925925925925926 0.00611460517120894 0 0 0.000174703004891684 0 0
"Su13.BD.MM110.SN.1" 0.364430468204053 0.109713487071978 0.027078965758211 0.456324248777079 0.000349406009783368 0.0162473794549266 0.000873515024458421 0.0117051013277428 0 0.00559049615653389 0.00751222921034242 0 0.000174703004891684 0 0 0
"Su13.BD.MM15.DN.1" 0.298392732354996 0.346086652690426 0.0209643605870021 0.304856743535989 0.000174703004891684 0.0153738644304682 0.00611460517120894 0.00471698113207547 0 0.00192173305380853 0.000873515024458421 0 0.000524109014675052 0 0 0
"Su13.BD.MM15.SD.1" 0.391684136967156 0.155835080363382 0.0256813417190776 0.381027253668763 0.000524109014675052 0.01659678546471 0.0010482180293501 0.0103074772886094 0 0.0124039133473096 0.00401816911250874 0 0.000873515024458421 0 0 0
"Su13.BD.MM15.SN.1" 0.455276030747729 0.157407407407407 0.0242837176799441 0.323375262054507 0.000524109014675052 0.0178197064989518 0.00279524807826695 0.00576519916142558 0.00157232704402516 0.006638714185884 0.00366876310272537 0 0.000873515024458421 0 0 0
