,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000132,0.9827069677799879,0.32551247797827976,0.06927551560021153,0.4262036864356893,no,0.01,423.0,0.00029086968347870817,146
Otu000162,3.8259691893094954,0.055124486570712755,-0.2215758857747224,0.010926513726306278,yes,0.082,122.0,0.0007076884700800686,148
Otu000594,0.22902929554752327,0.6339838817165762,0.09254362771020626,0.28779813580320124,no,0.03,286.0,0.00026892826326901475,148
Otu000423,5.4067383399287126,0.02345897183071391,0.23320994182971974,0.007391518582344033,yes,0.008,442.0,0.0001976462976312268,150
Otu000128,2.0668050355338194,0.15573175925183327,-0.0883130618720254,0.31040544291753647,no,0.096,98.0,0.00039252880020165494,151
Otu000213,2.215612061498972,0.14185832077411806,0.10100475938656797,0.24598789438193114,no,0.062,169.0,0.00022741297448247756,152
Otu000048,9.34160661432782,0.0033416474075860856,0.28291909042834484,0.0011555372292759779,yes,0.01,423.0,0.0008365974467179121,153
Otu000083,6.795853916972343,0.011509890001972639,-0.16657852987837124,0.055705082311283814,no,0.006,460.0,0.0003973151451948546,153
Otu000511,10.4979154925528,0.0019509550557902785,-0.2205182443151772,0.011312576808486947,yes,0.138,50.0,0.00023802330708936126,155
Otu000189,1.6392748736205793,0.20535272618887754,-0.12004230565838184,0.1679513180347738,no,0.144,44.0,0.00017848866754668034,157
Otu001602,9.015203647716861,0.003899448435217462,0.18455843469063987,0.03401831392926335,yes,0.076,139.0,0.0002699761198421905,157
Otu000086,0.3069400872528576,0.5816230115213987,-0.07667900581702804,0.37845755516525637,no,0.024,318.0,0.0005552211596219947,157
Otu000349,4.534809105703348,0.037324232247519865,0.13484928609201483,0.12140795969939298,no,0.016,365.0,0.0003912193739966607,157
Otu000494,0.9004719562502126,0.34646179218844886,-0.10417768376520362,0.23146479677371512,no,0.024,318.0,0.00027645632648410446,160
Otu000338,0.696359969391044,0.4073197789932874,0.03860391327340032,0.6574706719780812,no,0.048,208.0,0.00019227515324645947,161
Otu000330,0.10577146578117196,0.7461419787513432,0.010047593865679535,0.9081220918271574,no,0.076,139.0,0.00011678234867090743,162
Otu000766,7.170563537100724e-05,0.9932717525979327,-0.05129561078794289,0.5557365525081721,no,0.014,388.0,0.00014892086996765272,162
Otu002173,0.03631250423527716,0.8495148856578738,-0.010047593865679535,0.9081220918271574,no,0.044,225.0,0.00028893217714026057,164
Otu001643,1.4418617308426043,0.23455742018332001,0.05129561078794289,0.5557365525081721,no,0.176,32.0,0.00032406066755521817,165
Otu000778,1.4562098775791732,0.2322704325705802,-0.06927551560021153,0.4262036864356893,no,0.042,230.0,0.00038639777101020275,166
Otu000279,1.9270431044398026,0.1702152901030394,0.07033315705975675,0.4191752810902468,no,0.026,308.0,0.00023271738711180573,166
Otu000227,0.2703676126659393,0.6049985191307508,0.03331570597567425,0.7019665725486033,no,0.016,365.0,0.00023911231570162612,168
Otu000851,3.3611752542040394,0.07171216046275003,0.042834479111581183,0.62271890205929,no,0.002,497.0,0.00017129441775399666,169
Otu000264,0.3023284415644604,0.5844673950440813,0.05129561078794289,0.5557365525081721,no,0.054,192.0,0.0004544417731015937,170
Otu000787,1.8118947255629485,0.18334507474726838,0.1560021152829191,0.07315633590447475,no,0.056,186.0,0.0006040538498844992,171
Otu000075,2.6436589978835636,0.10920537522791102,-0.2437863564251719,0.0051078595842863166,yes,0.022,330.0,0.00019662698733178462,172
Otu000874,9.419331462961326,0.0032215721171347115,0.15917503966155475,0.06750474728448311,no,0.052,195.0,0.0005255088536350156,172
Otu001475,0.09070454330526086,0.7643246531819127,0.008989952406134321,0.917757105100038,no,0.008,442.0,0.0002493876792121394,174
Otu000406,0.4384972807437719,0.5103841873466726,-0.06927551560021153,0.4262036864356893,no,0.012,403.0,0.0006842346660448125,175
Otu001093,0.0018245281020758313,0.9660709565134591,0.006874669487043892,0.9370620025943025,no,0.072,153.0,0.0003318753182384066,175
Otu000939,0.3278377559647834,0.569074507174578,0.0015864621893178215,0.9854615563571196,no,0.002,497.0,0.00011411640794594329,177
Otu000966,5.433839369244238,0.02312825003857421,0.1634056054997356,0.06053299745575032,no,0.022,330.0,7.228153409349215e-05,177
Otu000322,1.8505418546128498,0.17880938844990263,0.10523532522474882,0.2267618747979493,no,0.06,174.0,0.00015931110089041774,179
Otu000099,6.588158799296015,0.012778553603462393,-0.1560021152829191,0.07315633590447475,no,0.016,365.0,0.00028406516777453657,180
Otu000399,17.359735873895012,0.00010070330770034996,0.2585933368588049,0.0029758074404713122,yes,0.018,352.0,0.00033809573242554297,181
Otu000193,0.5125702301538623,0.4768055456737613,-0.08514013749338975,0.328110347468067,no,0.036,254.0,8.993390179762581e-05,182
Otu000711,2.14898167681871,0.14788590973335294,0.043892120571126396,0.6141568248194942,no,0.11,75.0,0.0004962193537794368,183
Otu001134,4.109989354869377,0.04707986510731968,0.1411951348492861,0.10485049730385777,no,0.112,74.0,0.00015994292080360163,184
Otu001408,13.250986960942136,0.0005688840159503269,0.26070861977789533,0.002748749443329048,yes,0.018,352.0,0.00016883586286649423,185
Otu000139,0.07497370101368739,0.7851685591332993,-0.0809095716552089,0.3527157544124043,no,0.016,365.0,6.394374833009344e-05,186
Otu000064,2.909351947356126,0.09323955585512281,0.14331041776837655,0.09974807926699701,no,0.018,352.0,7.169922013189529e-05,186
Otu000050,4.229010823067962,0.04409535454322077,-0.1634056054997356,0.06053299745575032,no,0.052,195.0,0.0003337039908768368,188
Otu000173,7.578454770201758,0.007803405630796849,0.20465362242199894,0.01873966285059817,yes,0.096,98.0,0.00018483233394400936,189
Otu001806,0.1703943921836183,0.6812329315212886,-0.03860391327340032,0.6574706719780812,no,0.004,480.0,7.604597292907869e-05,190
Otu000400,1.3171783430865172,0.25565467712521445,-0.008989952406134321,0.917757105100038,no,0.064,164.0,0.00034371180990564376,191
Otu000074,2.0635187664569057,0.15605541192537217,-0.24167107350608147,0.005505669316548916,yes,0.026,308.0,0.00042029285049039546,192
Otu000361,0.6535511530857713,0.4220398053469021,0.06610259122157588,0.4476969070283343,no,0.012,403.0,0.0006188950734911769,193
Otu000103,22.441705563409233,1.3697441545693054e-05,-0.3410893707033316,8.936719146077288e-05,yes,0.108,80.0,0.0004464879872560895,194
Otu002185,3.972348264167344,0.05080667875511471,-0.22474881015335804,0.009837633533389475,yes,0.114,70.0,0.0006939906143758933,195
Otu000012,0.2288082381144025,0.6341473086488403,-0.01639344262295082,0.8506442012050557,no,0.012,403.0,0.0004991861990488758,196
Otu000746,0.1861031529021485,0.6677260337070148,-0.05658381808566896,0.5157395376134755,no,0.0,523.0,0.00015334278391657396,197
Otu000096,0.11247740807442273,0.7385109069382364,-0.05235325224748811,0.5476174838836547,no,0.008,442.0,0.00046532082050984585,198
Otu000020,1.4127515503625785,0.2392833788867737,0.1105235325224749,0.20426881688329745,no,0.018,352.0,0.0005350790891442241,199
Otu000154,0.23136829997161154,0.6322605898356431,0.0005288207297726071,0.9951536137242997,no,0.074,144.0,0.00040185968388286696,200
Otu000469,0.6502519357801804,0.4232073657113765,0.06504494976203068,0.45499592136466205,no,0.016,365.0,0.00010592512355603591,201
