,f_regr_HNA,p-value_HNA,kendall_HNA,p_kendall_HNA,kendall significant HNA,f_regr_LNA,p-value_LNA,kendall_LNA,p_kendall_LNA,kendall significant LNA,f_regr_TCC,p-value_TCC,kendall_TCC,p_kendall_TCC,kendall significant TCC,RL score,RL ranking,Boruta score,Boruta ranking
Otu000496,0.2894113663709862,0.5925880042673808,-0.05764145954521418,0.5079232117171629,no,8.002433116979065,0.006342757544930426,-0.2585933368588049,0.0029758074404713122,yes,4.914583252122576,0.030431950835525294,-0.2215758857747224,0.010926513726306278,yes,0.05,220.0,0.0001594535817410776,282
Otu000766,0.3728177285823352,0.5437784143531561,-0.06504494976203068,0.45499592136466205,no,0.20945551442554222,0.6488475506847964,-0.02062400846113168,0.8127427567946938,no,0.014870696900040522,0.9033497208353,-0.04706504494976203,0.5887879515824399,no,0.036,280.0,0.00021977598370706986,306
Otu000302,0.7811503247253844,0.3803174165236991,-0.17503966155473297,0.04437606843345444,yes,0.27428895794291475,0.6023983128414446,-0.041776837652035964,0.6313323066185197,no,0.005775118780616744,0.9396765404979008,-0.10629296668429403,0.2221275051372753,no,0.014,389.0,0.00020746329351832153,306
Otu000133,1.6249393549267954,0.2073189906909466,0.1253305129561079,0.14999266420389432,no,46.67697001714515,4.834632690997115e-09,0.4257006874669487,1.0102269176494329e-06,yes,24.77633391274082,5.7394787408824985e-06,0.36541512427287154,2.7024658946346043e-05,yes,0.0,461.0,0.00019340057999546104,306
Otu000291,0.045940425955497015,0.8310109074576043,0.015335801163405606,0.8601773798492061,no,19.401286457176333,4.4385846334178984e-05,-0.2744579587519831,0.0016190740891705681,yes,8.486144692706564,0.0050203955479703145,-0.20359598096245374,0.01936021236597907,yes,0.028,314.0,7.228847962185182e-05,306
Otu000581,5.3449619745749216e-05,0.9941910323010723,0.02908514013749339,0.7383233431911786,no,0.03660795273918819,0.8489114557134665,-0.02379693283976732,0.7845967275754077,no,0.02031122349146223,0.8871488064952695,-0.007932310946589107,0.9274042120837687,no,0.122,66.0,6.498014218550076e-05,306
Otu000115,5.093950672646631,0.02766332319886851,0.1983077736647277,0.02273964862980675,yes,3.4448906292955037,0.06836029705387571,-0.18878900052882075,0.030124678025085422,yes,0.3206000798447017,0.5733590561648634,-0.06927551560021153,0.4262036864356893,no,0.024,334.0,0.00025639844616511686,306
Otu000085,0.0818257972986616,0.7758235559273381,-0.04494976203067161,0.6056470249748174,no,1.0836255389189968,0.30206446354193434,-0.10206240084611318,0.2410775208680488,no,0.7392430427645033,0.3933258809423483,-0.08408249603384454,0.33415477699110885,no,0.006,432.0,0.00010981783425362835,306
Otu000715,0.27781089465555964,0.6000831143761147,-0.014278159703860394,0.8697309799351222,no,5.423788377634226,0.023250321693582245,0.04706504494976203,0.5887879515824399,no,3.4863726557962287,0.06676343031636606,0.02273929138022211,0.7939494465711545,no,0.018,365.0,6.944149569897948e-05,306
Otu000298,0.07517614312003176,0.7848860123037025,0.0015864621893178215,0.9854615563571196,no,18.920404904463332,5.371217257997161e-05,0.29772607086197783,0.0006268837649032034,yes,9.551087341609696,0.0030282317125160303,0.2205182443151772,0.011312576808486947,yes,0.002,449.0,0.00012230502432828962,306
Otu000080,0.6451381523353309,0.4250267982734537,0.01639344262295082,0.8506442012050557,no,9.013882615243894,0.0039018944920188366,0.19196192490745642,0.027461695953648335,yes,5.951109976163186,0.017681481274874893,0.1634056054997356,0.06053299745575032,no,0.05,220.0,2.5557429360063358e-05,306
Otu002142,0.6758120918149851,0.4142875321183662,0.0597567424643046,0.49247903463002884,no,5.68416864361114,0.020298056302513284,-0.16869381279746168,0.05266812461391215,no,1.9726910590589215,0.16531832073649178,-0.1253305129561079,0.14999266420389432,no,0.18,26.0,3.0032945584389428e-05,332
