Samples,Total.cells,HNA.cells,LNA.cells,sd.Total.cells,sd.HNA.cells,sd.LNA.cells
MLBS2-715-2,10186.4434746976,3882.6180945387,6304.07832643148,152.440754813077,91.2696393443602,66.8572450381863
MLBS2-815,7548.90061822262,2210.0966244188,5338.93727782794,206.752984926832,86.0101380510402,122.780629457847
MLBS2-915-2,9470.57628358741,3014.35946810406,6456.41634592518,331.443031866462,157.846086087901,176.851607967232
MM110-D-N_July,472.120640516858,145.291929859055,326.828710657803,3.34850676181276,4.18175912405475,2.16445859209641
MM110-D-N_September,570.446676755321,200.302239651531,370.21095875326,24.2007824492976,12.1801465399994,13.0386669635838
MM110-DCMD_July,1919.47283087505,857.532698347338,1062.07315724371,51.7324893024566,25.0470082697012,27.1092473025609
MM110-S-D_April,1241.31424854338,364.440090296243,877.007145945103,217.219441532422,61.1891229274064,156.313968446225
MM110-S-D_July,1582.43359974375,264.387122747323,1318.04647699643,223.076448454793,40.3939458966044,183.424910185845
MM110-S-D_September,2278.44090152273,696.509405480841,1581.99796993426,46.8211048069717,5.86538775417077,41.362200673993
MM110-S-N_April,1765.71714962844,457.132640410786,1308.58450921765,64.8492068992067,20.815980968143,45.8509466015615
MM110-S-N_July,1710.5428503194,278.65049040506,1431.89235991434,32.3507632592794,9.66855461189736,30.2577756019681
MM110-S-N_September,2449.27600661831,761.222777182366,1688.11973250505,13.4416422222872,8.29174944576964,17.3126730417706
MM15-D-D_April,3056.53298763766,1441.93343633447,1614.66593120867,38.5169094228514,29.7062556070119,26.7975218164994
MM15-D-N_July,2505.39870398069,693.684986629778,1811.71371735091,28.8907340857403,9.05388330417606,20.0769078062079
MM15-D-N_September,2060.18821008293,746.258029535319,1313.93018054761,32.0255058292489,8.71245218453166,25.7303775864993
MM15-S-D_April,2753.1793737637,1181.77957135019,1571.59900967597,50.5532439428186,32.9561574541789,24.0696496085849
MM15-S-D_July,2796.55021578369,636.088654831346,2160.52805208242,36.5249428269852,6.74611040815269,35.7967363779642
MM15-S-D_September,2292.34728119364,707.212412715769,1585.13486847787,35.6910908041161,21.5354525264045,28.6722525204774
MM15-S-N_April,2803.43070680776,1284.40426063002,1519.1593769186,23.3159668587308,5.38843950423111,27.5000878372156
MM15-S-N_July,2976.13905616666,708.862051626397,2267.41001598589,35.8930163852801,18.9687105359347,23.28262069235
MM15-S-N_September,2340.23595725728,767.711492116877,1572.59095759684,16.8046143333978,4.74367425307408,17.2608213225788
MOTE1-714,10714.4694292401,3755.07977505672,6959.65578334143,89.3335364124858,29.871917799435,59.7206885472753
MOTE1-715,7476.39939160573,1962.12058120202,5514.411993275,129.650365311282,13.1013009130307,122.848890639884
MOTE1-914,7035.78391335511,2221.47345560548,4814.57670915635,255.818284185729,112.19745684912,147.339783052758
MOTE2-515,6125.53979472758,2539.06080298521,3586.67858342546,52.6502307256145,39.5703189745468,17.5754251646632
MOTE2-915,5708.89878719303,1563.33545209311,4145.69663910636,34.515178810428,19.3076609002626,25.5685372040106
MOTH-915,5839.02203043634,1621.40960923503,4217.87848663181,82.4656862597963,31.9398294035434,59.2797677445049
MOTH1-714,4971.9218214132,1419.25512552055,3552.79978439754,133.545145766468,41.0333590641171,93.3633376652824
MOTH1-715,3910.72025919124,894.442682169222,3016.27757702202,47.1913453798825,22.3876322397457,25.2118585124689
MOTH1-914,7074.11001511524,2223.32274633867,4850.85388348376,34.8405103334049,27.2578520886485,7.8697914225999
MOTH2-515,4193.78175402497,1605.70518600025,2588.27627380263,78.2330112432437,26.5628526371859,53.343265033676
MRBH1-715,2317.31607695269,674.100369196373,1643.34861579923,42.0143389706939,19.033091185629,26.8415637228283
MUSDEPE1-epi-deep-514,4425.11240427099,2618.15213750303,1807.02678576247,113.500205630744,109.143104684981,89.2585117324517
MUSDEPH-hypo-deep-514,3118.77335242604,1545.02368243034,1573.74966999571,43.453138090789,34.0788409288964,11.8544432445537
MUSINLE1-epi-inlet-514,5495.43605354483,3483.98626642547,2011.6494264801,122.967178556556,90.8451508752171,54.3997954963579
MUSINLH1-hypo-inlet-514,5442.09355935751,3537.32988501082,1905.09608819648,81.6925691586439,36.0399065537981,51.3318426616922
Muskegon_April,3725.0750624027,2030.75465458432,1694.38706248721,35.9567326089995,15.7126180402637,20.5710706137882
MUSOUTE1-epi-outlet-514,4602.04311191823,2659.9425833981,1942.23347365368,81.6661188349912,61.6091549432015,34.8847776340759
MUSOUTH-hypo-outlet-514,2501.0782982287,1186.91991698677,1314.22484055555,24.5958128797997,20.2712463487906,5.84558312699224
Z14-1-1,9016.89732372493,2211.37856502611,6759.1897519864,231.594147976534,52.7281062036601,178.96844360939
Z14-10-1,8877.00095917012,2005.30274578725,6827.64828395582,309.160351097358,71.1873267524804,233.76407416143
Z14-11-1,8132.99922411462,5142.0725529026,2964.35966489229,305.314979464889,226.602200732288,102.853176801754
Z14-12-1,9609.92607330872,2294.73670134186,7251.23934949623,377.746065208171,119.194071750332,260.578510534575
Z14-13-1,8636.79254836265,2190.3118677961,6398.130533415,96.7149634393285,11.8371479911812,106.427465568767
Z14-14-1,8769.1914308689,2214.26496554033,6489.86439257649,111.523835628769,27.6758543852869,83.7656414582952
Z14-15-1,5204.22005516898,3367.82875648562,1811.48946231979,67.6614390558245,52.8151442946518,20.4156005847562
Z14-16-1,8835.41512973745,2255.34161460263,6529.96485956734,34.4213542348993,18.367172359287,45.0166012626888
Z14-17-1,8490.36382039679,2508.7700740175,5944.92046150338,220.273217018496,64.840154283046,158.372707797396
Z14-18-1,8295.80654962519,2645.17229162144,5609.99096218866,119.476315576141,68.0651954372033,57.3616972854868
Z14-19-1,4846.05027198233,2410.52303644267,2418.22596477829,81.2497200611211,58.1592998312567,30.1272885029353
Z14-2-1,8744.04953665161,2180.37028786838,6512.45128004185,135.619950619994,42.3175770114602,102.255149478855
Z14-20-1,8433.64549172119,2741.99520588281,5640.07437304166,202.9477447871,103.182526911676,112.386192942358
