"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"Su13.BD.MM110.DCMD.1" 147 0.556705235299599 0.560731192970997 0.00828244355023504 310 -0.48608332154389 0.31 999
"Su13.BD.MM110.DN.1" 151 0.551811023399558 0.557045674633574 0.00755575761670466 251 -0.692802958957076 0.251 999
"Su13.BD.MM110.SD.1" 117 0.618717792513999 0.614458266220833 0.00925097830585811 705 0.460440631502601 0.705 999
"Su13.BD.MM110.SN.1" 122 0.602333166237637 0.599717076295914 0.00870493968132071 657 0.300529358903763 0.657 999
"Su13.BD.MM15.DN.1" 148 0.619240245449531 0.614743060618994 0.0100798629965505 677 0.446155352714273 0.677 999
"Su13.BD.MM15.SD.1" 151 0.586268293156733 0.586764725092421 0.00740899704078983 509 -0.0670039322401265 0.509 999
"Su13.BD.MM15.SN.1" 172 0.57529353121175 0.577547083373323 0.00724093904009904 411 -0.311223744474696 0.411 999
"Z14001F" 180 0.564175072625698 0.567725260209931 0.00736520869529092 322 -0.482021315499477 0.322 999
"Z14002F" 185 0.591145481786134 0.591213509460106 0.00764479334484913 483 -0.00889856283928856 0.483 999
"Z14004F" 205 0.60103612721186 0.599489857423181 0.00740068934379799 584 0.208935913513928 0.584 999
"Z14005F" 217 0.580494495647721 0.581995336413389 0.00643959554272205 417 -0.233064445695461 0.417 999
"Z14006F" 208 0.595058340765515 0.594445137343773 0.00680257200841231 517 0.0901428784559403 0.517 999
"Z14008F" 227 0.586564703130482 0.586590326283556 0.00630426595460211 514 -0.00406441499428759 0.514 999
