Samples,Total.cells,HNA.cells,LNA.cells
Z14-51-1_rep2.fcs,4739.84860287215,1446.86120598398,3245.45109553199
Z14-51-1_rep3.fcs,4871.27208763093,1474.57423842648,3350.12393059886
Z14-53-1_rep1.fcs,3942.6437401394,1063.64707527011,2849.43981786592
Z14-53-1_rep2.fcs,3944.74366646718,1042.6890085777,2875.72311988829
Z14-53-1_rep3.fcs,3903.81360151349,1012.84476749975,2859.90241959574
Z14-55-1_rep1.fcs,7220.02713920817,3271.07279693487,3833.01404853129
Z14-55-1_rep2.fcs,7609.00365174705,3467.76285594556,4035.28026659749
Z14-55-1_rep3.fcs,7427.43641953128,3369.86465444963,3934.80257116621
Z14-57-1_rep1.fcs,6324.58996743712,2190.50282677747,4105.71947979304
Z14-57-1_rep2.fcs,6277.00886189386,2147.76461216768,4097.38126057951
Z14-57-1_rep3.fcs,6293.64064871774,2143.88431732843,4118.79843412958
Z14-59-1_rep1.fcs,5389.59094448104,1685.33269449602,3675.90984408377
Z14-59-1_rep2.fcs,5228.01758593126,1657.67386091127,3550.15987210232
Z14-59-1_rep3.fcs,5385.56742189839,1726.31999201517,3636.69028845194
Z14-6-1_rep1.fcs,10168.4844376209,2054.5131896397,8068.31096843658
Z14-6-1_rep2.fcs,9999.60135539167,2045.24616304564,7911.10225234204
Z14-6-1_rep3.fcs,10122.0314649758,2062.37163765428,8021.77424178979
Z14-61-1_rep1.fcs,4243.50707683708,1422.75367815863,2789.81095162997
Z14-61-1_rep2.fcs,4168.3466735863,1419.38960857502,2721.41160502206
Z14-61-1_rep3.fcs,4135.89364844904,1360.33374585812,2744.42093496746
Z14-63-1_rep1.fcs,3845.35588892435,1275.93360995851,2545.88254069582
Z14-63-1_rep2.fcs,3800.76383195697,1236.1280518286,2544.04031113155
Z14-63-1_rep3.fcs,3891.94157491958,1303.374827662,2559.7937938338
Z14-65-1_rep1.fcs,1862.40707894055,721.844669868665,1047.69117324671
Z14-65-1_rep2.fcs,2311.40832418405,807.665435672223,1396.14732009183
Z14-65-1_rep3.fcs,2186.58022432583,796.078275395752,1283.70853551826
Z14-67-1_rep1.fcs,2069.29643921067,789.931423316072,1176.79988803807
Z14-67-1_rep2.fcs,1715.54047310111,643.177961872442,985.527497754267
Z14-67-1_rep3.fcs,2294.72886460182,856.384994316029,1330.84701142777
Z14-69-1_rep1.fcs,2579.5130511077,876.188956908413,1677.00253245329
Z14-69-1_rep2.fcs,2523.58443526995,836.674046151698,1659.18745886436
Z14-69-1_rep3.fcs,2629.56466273322,868.880561313985,1731.58188486685
Z14-7-1_rep1.fcs,7916.16694650995,4618.8134644599,3047.29351563125
Z14-7-1_rep2.fcs,8607.49380842055,5197.531357354,3308.50043940241
Z14-7-1_rep3.fcs,8781.15404553974,5279.3396339275,3426.64593053395
Z14-71-1_rep1.fcs,3696.79684071961,1503.25102716502,2141.88838804898
Z14-71-1_rep2.fcs,3789.21979029622,1592.91153370809,2149.66311844676
Z14-71-1_rep3.fcs,3714.21165962198,1505.70220910758,2157.86745354494
Z14-73-1_rep1.fcs,5600.7996001999,2201.89905047476,3344.52773613193
Z14-73-1_rep2.fcs,5681.24112837122,2269.33765169236,3359.92322917291
Z14-73-1_rep3.fcs,5659.59658557064,2263.75867101133,3344.86136377266
Z14-75-1_rep1.fcs,5997.36168851935,2470.81867604733,3476.37511992325
Z14-75-1_rep2.fcs,5768.40129398139,2329.36618874556,3389.9117376892
Z14-75-1_rep3.fcs,5622.78430591516,2252.73849830711,3328.02230631348
Z14-77-1_rep1.fcs,6518.74812518748,2272.57274272573,4218.97810218978
Z14-77-1_rep2.fcs,6577.8373083305,2308.6303752424,4242.2182683273
Z14-77-1_rep3.fcs,6676.52643149795,2370.34076146697,4273.40861397022
Z14-79-1_rep1.fcs,6568.15138980477,2286.63349519413,4252.94246947625
Z14-79-1_rep2.fcs,6666.93308290207,2317.22181149719,4321.33794233421
Z14-79-1_rep3.fcs,6608.47132229422,2312.41500679946,4267.85857131429
Z14-8-1_rep1.fcs,10136.8087270407,2048.54117224737,8054.96280637377
Z14-8-1_rep2.fcs,10255.2597467345,2115.66457273906,8109.28307907069
Z14-8-1_rep3.fcs,10557.7935545629,2162.7712188896,8363.91193363114
Z14-9-1_rep1.fcs,8700.277983321,2033.07801531908,6624.80251184929
Z14-9-1_rep2.fcs,8769.7968325068,2087.46600543913,6645.1367781155
Z14-9-1_rep3.fcs,8787.16432225064,2091.39226342711,6658.40792838875
MLB-D-D_July_rep1.fcs,7707.85438698199,2200.18791355976,5507.86638146453
MLB-D-D_July_rep2.fcs,7573.25769530392,2169.06697561073,5404.19071969319
MLB-D-D_July_rep3.fcs,7492.7527539535,2072.41248325636,5420.540194726
MLB-D-N_September_rep1.fcs,4325.42061303601,1463.25380649802,2862.56643887623
MLB-D-N_September_rep2.fcs,4195.99144735527,1374.41800051955,2821.57344683572
MLB-D-N_September_rep3.fcs,4234.5980090353,1377.28381241754,2857.51409267181
MLB-S-N_September_rep1.fcs,4546.77953919259,1514.19558359621,3032.58395559637
MLB-S-N_September_rep2.fcs,4474.77353170556,1509.1887135801,2965.78479012938
MLB-S-N_September_rep3.fcs,4425.95108695652,1523.73721227621,2902.21387468031
MLB40y-S-D_July_rep1.fcs,13646.8594217348,4716.45064805583,8930.40877367896
MLB40y-S-D_July_rep2.fcs,13311.1248528854,4590.57269952724,8720.5521533582
MLB40y-S-D_July_rep3.fcs,13116.4479195755,4447.08182072047,8669.56556428771
MM110-D-N_July_rep1.fcs,468.534405183274,142.380066790649,326.154338392625
MM110-D-N_July_rep2.fcs,475.165430917643,150.083712030615,325.081718887029
MM110-D-N_July_rep3.fcs,472.662085449656,143.412010755901,329.250074693756
MM110-D-N_September_rep1.fcs,544.011486459538,186.256132094285,357.755354365253
MM110-D-N_September_rep2.fcs,591.510507094534,207.946676245784,383.763395797162
MM110-D-N_September_rep3.fcs,575.818036711892,206.703910614525,369.114126097366
MM110-DCMD_July_rep1.fcs,1979.20823689041,886.343682656237,1093.26362838215
MM110-DCMD_July_rep2.fcs,1889.498354443,845.317642365613,1044.18071207739
MM110-DCMD_July_rep3.fcs,1889.71190129175,840.936770020165,1048.77513127159
MM110-S-D_April_rep1.fcs,1395.57592666401,411.319250697489,984.455958549223
MM110-S-D_April_rep2.fcs,992.903560180202,295.219870031495,697.683690148706
MM110-S-D_April_rep3.fcs,1335.46325878594,386.781150159744,948.88178913738
MM110-S-D_July_rep1.fcs,1325.39255002893,219.069850960675,1106.32269906825
MM110-S-D_July_rep2.fcs,1725.46363618255,296.607637298062,1428.85599888448
MM110-S-D_July_rep3.fcs,1696.44461301978,277.483879983231,1418.96073303655
MM110-S-D_September_rep1.fcs,2312.96447570281,702.516387400132,1610.44808830268
MM110-S-D_September_rep2.fcs,2225.14707348689,690.79668960016,1534.54980556386
MM110-S-D_September_rep3.fcs,2297.21115537849,696.215139442231,1600.99601593625
MM110-S-N_April_rep1.fcs,1837.73118622449,481.106505102041,1356.62468112245
MM110-S-N_April_rep2.fcs,1747.48380667663,443.647234678625,1303.83657199801
MM110-S-N_April_rep3.fcs,1711.93645598419,446.644181451693,1265.2922745325
MM110-S-N_July_rep1.fcs,1747.89044265794,282.870194897165,1465.02024776078
MM110-S-N_July_rep2.fcs,1692.53229870805,267.589296428143,1424.94300227991
MM110-S-N_July_rep3.fcs,1691.20580959221,285.491979889873,1405.71382970234
MM110-S-N_September_rep1.fcs,2462.3426371127,764.51928256489,1698.02286375516
MM110-S-N_September_rep2.fcs,2435.48837394807,767.359310812428,1668.12906313564
MM110-S-N_September_rep3.fcs,2449.99700879415,751.789738169781,1698.20727062436
MM15-D-D_April_rep1.fcs,3067.29233226837,1424.72044728435,1642.57188498403
MM15-D-D_April_rep2.fcs,3088.526162268,1476.23519069786,1612.29097157014
MM15-D-D_April_rep3.fcs,3013.78046837661,1424.84467102119,1589.13493707185
MM15-D-N_July_rep1.fcs,2478.3033737007,686.511182491072,1791.79219120962
MM15-D-N_July_rep2.fcs,2502.09238372325,690.685903311944,1811.4064804113
MM15-D-N_July_rep3.fcs,2535.80035451811,703.857874086319,1831.9424804318
MM15-D-N_September_rep1.fcs,2095.8442232109,755.541368234144,1340.30285497676
MM15-D-N_September_rep2.fcs,2033.86787936812,744.973671613212,1288.89420775491
MM15-D-N_September_rep3.fcs,2050.85252766976,738.2590487586,1312.59347891116
MM15-S-D_April_rep1.fcs,2792.19095858177,1216.42371428002,1575.96665802541
MM15-S-D_April_rep2.fcs,2696.06769537083,1150.82130413141,1545.64459930314
MM15-S-D_April_rep3.fcs,2771.27946733849,1178.09369563913,1593.18577169936
MM15-S-D_July_rep1.fcs,2823.25266137714,642.916949084965,2180.33571229217
MM15-S-D_July_rep2.fcs,2811.47099323475,629.427847292901,2182.04314594185
MM15-S-D_July_rep3.fcs,2754.92699273917,635.921168116173,2119.20529801324
MM15-S-D_September_rep1.fcs,2262.03539293338,709.853759751012,1552.18163318237
MM15-S-D_September_rep2.fcs,2331.68474792597,727.305360561583,1604.37938736439
MM15-S-D_September_rep3.fcs,2283.32170272156,684.478117834712,1598.84358488685
MM15-S-N_April_rep1.fcs,2829.06136105634,1281.39252355062,1547.86799705244
MM15-S-N_April_rep2.fcs,2783.47839974447,1290.62524954084,1493.0527828795
MM15-S-N_April_rep3.fcs,2797.75235962246,1281.19500879859,1516.55735082387
MM15-S-N_July_rep1.fcs,3016.89910416791,724.247321482013,2293.0508170228
MM15-S-N_July_rep2.fcs,2962.26076196939,714.670604905502,2247.59015706388
MM15-S-N_July_rep3.fcs,2949.25730236268,687.668228491676,2261.589073871
